"INDICATOR","HFA_589"

"HFA_589","Number of abortions, age under 20 years"

"UNIT_TYPE","Unit"
"NUM_PROC","number of procedures"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"EST","","ALL","2012","573"
"ARM","","ALL","1999","694"
"ITA","","ALL","2005","10528"
"DNK","","ALL","1996","2330"
"DNK","","ALL","1997","2179"
"NLD","","ALL","1995","2261"
"DEU","","ALL","1999","14226"
"FRA","","ALL","1999","26563.26"
"AZE","","ALL","2015","1475"
"GEO","","ALL","2000","788"
"FIN","","ALL","1983","3860"
"EST","","ALL","2010","729"
"GBR","","ALL","2009","43300"
"MKD","","ALL","2006","214"
"NLD","","ALL","2004","3870"
"LTU","","ALL","1999","1257"
"CZE","","ALL","1994","6496"
"CZE","","ALL","2008","2469"
"DNK","","ALL","1992","2770"
"ITA","","ALL","1985","16129"
"KAZ","","ALL","2009","4054"
"DNK","","ALL","1990","3100"
"ISL","","ALL","1980","116"
"SVK","","ALL","2005","1144"
"GEO","","ALL","2011","1415"
"GEO","","ALL","2013","1439"
"SVK","","ALL","2014","578"
"ROU","","ALL","1997","26733"
"NLD","","ALL","2003","4120"
"UZB","","ALL","2013","1229"
"ARM","","ALL","2007","548"
"DEU","","ALL","1992","16159"
"AZE","","ALL","2011","1204"
"ESP","","ALL","2009","13967"
"CZE","","ALL","2010","2041"
"UKR","","ALL","2010","8076"
"BGR","","ALL","1997","10638"
"FIN","","ALL","2005","2337"
"SVN","","ALL","2007","418"
"TKM","","ALL","2012","1067"
"MDA","","ALL","1996","4433"
"ROU","","ALL","1995","39575"
"BGR","","ALL","1987","10597"
"TKM","","ALL","2003","1559"
"ARM","","ALL","2005","559"
"BLR","","ALL","2009","3194"
"FIN","","ALL","1985","3562"
"SWE","","ALL","1993","4839"
"LTU","","ALL","2015","319"
"NLD","","ALL","1992","2117"
"KAZ","","ALL","2007","6000"
"GBR","","ALL","2001","40087"
"MNE","","ALL","2005","28"
"SVN","","ALL","1987","1299"
"ROU","","ALL","1980","9564"
"ARM","","ALL","2001","1037"
"DNK","","ALL","1993","2665"
"ITA","","ALL","1992","11761"
"MKD","","ALL","1987","1030"
"ITA","","ALL","2008","10290"
"HUN","","ALL","1994","13454"
"NLD","","ALL","1997","2376"
"BLR","","ALL","1999","12985"
"HUN","","ALL","1999","8569"
"BGR","","ALL","2009","3414"
"ISL","","ALL","1982","153"
"CZE","","ALL","1981","5125"
"AZE","","ALL","1995","1014"
"ITA","","ALL","2006","10738"
"DEU","","ALL","1994","15017"
"SWE","","ALL","1987","5925"
"TJK","","ALL","2009","515"
"BLR","","ALL","2001","9064"
"SWE","","ALL","1995","4195"
"GBR","","ALL","1998","40356"
"HRV","","ALL","1982","2685"
"MNE","","ALL","2010","48"
"MNE","","ALL","2002","55"
"UKR","","ALL","2008","12286"
"SVK","","ALL","2004","1253"
"CZE","","ALL","1982","5467"
"ARM","","ALL","2004","616"
"ROU","","ALL","1994","37809"
"ITA","","ALL","2001","10693"
"SRB","","ALL","2014","693"
"CZE","","ALL","1993","8628"
"MKD","","ALL","1985","1276"
"ESP","","ALL","1999","8669"
"FIN","","ALL","1980","3618"
"KGZ","","ALL","2001","1408"
"ROU","","ALL","1986","8212"
"SVN","","ALL","2008","420"
"AZE","","ALL","1993","944"
"SVN","","ALL","1988","1128"
"ROU","","ALL","1982","10906"
"HRV","","ALL","1995","747"
"ESP","","ALL","2012","13725"
"ARM","","ALL","2006","531"
"ESP","","ALL","2014","10330"
"ROU","","ALL","2010","10340"
"BLR","","ALL","1997","14013"
"CZE","","ALL","1992","10732"
"NLD","","ALL","1990","2151"
"DEU","","ALL","1991","17481"
"CZE","","ALL","1973","4968"
"FIN","","ALL","1982","3305"
"GBR","","ALL","2002","39644"
"ROU","","ALL","1991","50688"
"ROU","","ALL","1996","36676"
"MKD","","ALL","2000","426"
"BGR","","ALL","1986","9953"
"ITA","","ALL","1995","10864"
"NLD","","ALL","1996","2401"
"NOR","","ALL","2008","2776"
"BLR","","ALL","1996","13763"
"FIN","","ALL","1979","3670"
"MNE","","ALL","2013","35"
"ESP","","ALL","1998","7774"
"DEU","","ALL","1996","11496"
"GEO","","ALL","1999","869"
"FIN","","ALL","1984","3715"
"CZE","","ALL","1979","4005"
"ROU","","ALL","1993","41267"
"SWE","","ALL","1991","6152"
"BLR","","ALL","1998","14353"
"MLT","","ALL","1987","0"
"MNE","","ALL","2008","54"
"NLD","","ALL","1991","2211"
"ESP","","ALL","2010","12758"
"FIN","","ALL","1974","3665"
"UKR","","ALL","1997","64644"
"UZB","","ALL","1995","7337"
"ROU","","ALL","1990","51830"
"ROU","","ALL","2013","8275"
"ARM","","ALL","2002","544"
"NOR","","ALL","2001","2450"
"DEU","","ALL","2011","10913"
"ITA","","ALL","2009","9839"
"MKD","","ALL","1998","304"
"TJK","","ALL","2004","500"
"ARM","","ALL","2008","611"
"ESP","","ALL","2011","14597"
"ISL","","ALL","2012","155"
"GEO","","ALL","2012","1641"
"SVK","","ALL","1989","3928"
"KAZ","","ALL","2005","6348"
"CZE","","ALL","1976","4198"
"CZE","","ALL","1983","5756"
"ARM","","ALL","2003","654"
"CHE","","ALL","2011","1047"
"LTU","","ALL","2008","793"
"MLT","","ALL","2015","0"
"HUN","","ALL","1986","9525"
"DEU","","ALL","2010","11942"
"ESP","","ALL","1992","6230"
"FIN","","ALL","1976","3919"
"CZE","","ALL","2007","2390"
"CZE","","ALL","2005","2450"
"ESP","","ALL","1995","6957"
"UKR","","ALL","2009","10342"
"SVK","","ALL","1994","3238"
"MDA","","ALL","1998","2944"
"MDA","","ALL","1995","5239"
"HUN","","ALL","1985","9285"
"LTU","","ALL","2010","492"
"UKR","","ALL","1991","86146"
"UKR","","ALL","1998","48355"
"SVN","","ALL","2009","346"
"PRT","","ALL","2010","2397"
"LVA","","ALL","2013","377"
"LVA","","ALL","2007","1401"
"SVN","","ALL","1997","885"
"AZE","","ALL","1998","978"
"TKM","","ALL","2009","1027"
"","CIS","ALL","2006","180798"
"ROU","","ALL","1992","44223"
"LTU","","ALL","1998","1475"
"MKD","","ALL","1999","369"
"GRC","","ALL","2011","592"
"ARM","","ALL","2009","767"
"SWE","","ALL","1990","6791"
"BLR","","ALL","1995","13087"
"FIN","","ALL","2010","1991"
"FIN","","ALL","1977","3704"
"HUN","","ALL","2013","4591"
"GBR","","ALL","1995","31040"
"GBR","","ALL","1997","36475"
"MDA","","ALL","2000","2741"
"NOR","","ALL","1993","2602"
"CZE","","ALL","1972","6200"
"NLD","","ALL","2014","3646"
"NOR","","ALL","2005","2211"
"CZE","","ALL","2004","2447"
"ITA","","ALL","1996","11424"
"FRA","","ALL","2014","24516"
